Facility,Field,Date,Lights On,Lights Off
Ellington Pinney Fields,Pinney Field D,9/30/2024, 6:01p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/1/2024, 5:59p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/1/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/2/2024, 5:57p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/2/2024, 7:20p, 9:00p
Ellington Pinney Fields,Pinney Field D,10/3/2024, 5:55p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/3/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/4/2024, 5:54p, 8:45p
Ellington Pinney Fields,Pinney Field D,10/7/2024, 5:49p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/8/2024, 5:47p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/8/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/9/2024, 5:45p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/9/2024, 7:20p, 9:00p
Ellington Pinney Fields,Pinney Field D,10/10/2024, 5:44p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/10/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/11/2024, 5:42p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/14/2024, 5:37p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/15/2024, 5:36p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/15/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/16/2024, 7:20p, 9:00p
Ellington Pinney Fields,Pinney Field D,10/17/2024, 5:33p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/17/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/18/2024, 5:31p, 8:45p
Ellington Pinney Fields,Pinney Field D,10/21/2024, 5:26p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/22/2024, 5:25p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/22/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/23/2024, 7:20p, 9:00p
Ellington Pinney Fields,Pinney Field D,10/24/2024, 5:22p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/24/2024, 7:15p, 7:45p
Ellington Pinney Fields,Pinney Field D,10/25/2024, 5:21p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/28/2024, 5:17p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/29/2024, 5:15p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/30/2024, 5:14p, 7:15p
Ellington Pinney Fields,Pinney Field D,10/30/2024, 7:20p, 9:00p
Ellington Pinney Fields,Pinney Field D,11/1/2024, 5:11p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,9/30/2024, 6:01p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/1/2024, 5:59p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/1/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/2/2024, 5:57p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/3/2024, 5:55p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/3/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/7/2024, 5:49p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/8/2024, 5:47p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/8/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/9/2024, 5:45p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/10/2024, 5:44p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/10/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/14/2024, 5:37p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/15/2024, 5:36p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/15/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/16/2024, 5:34p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/17/2024, 5:33p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/17/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/19/2024, 5:29p, 8:15p
Ellington Pinney Fields,Small Soccer Fields,10/21/2024, 5:26p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/22/2024, 5:25p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/22/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/23/2024, 5:24p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/24/2024, 5:22p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/24/2024, 7:15p, 7:45p
Ellington Pinney Fields,Small Soccer Fields,10/28/2024, 5:17p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/29/2024, 5:15p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,10/30/2024, 5:14p, 7:15p
Ellington Pinney Fields,Small Soccer Fields,11/1/2024, 5:11p, 7:45p
Robert Tedford Memorial Park,Lisa's Field,9/30/2024, 6:01p, 8:45p
Robert Tedford Memorial Park,Lisa's Field,10/3/2024, 5:55p, 8:30p
Robert Tedford Memorial Park,Lisa's Field,10/7/2024, 5:49p, 8:45p
Robert Tedford Memorial Park,Lisa's Field,10/10/2024, 5:44p, 8:30p
Robert Tedford Memorial Park,Lisa's Field,10/14/2024, 5:37p, 8:45p
Robert Tedford Memorial Park,Lisa's Field,10/17/2024, 5:33p, 8:30p
Robert Tedford Memorial Park,Lisa's Field,10/21/2024, 5:26p, 8:45p
Robert Tedford Memorial Park,Lisa's Field,10/24/2024, 5:22p, 8:30p
Robert Tedford Memorial Park,Lisa's Field,10/28/2024, 5:17p, 8:45p
Robert Tedford Memorial Park,LLM2,10/1/2024, 5:59p, 8:30p
Robert Tedford Memorial Park,LLM2,10/2/2024, 5:57p, 8:30p
Robert Tedford Memorial Park,LLM2,10/3/2024, 5:55p, 8:30p
Robert Tedford Memorial Park,LLM2,10/4/2024, 5:54p, 8:30p
Robert Tedford Memorial Park,LLM2,10/7/2024, 5:49p, 8:30p
Robert Tedford Memorial Park,LLM2,10/8/2024, 5:47p, 8:30p
Robert Tedford Memorial Park,LLM2,10/9/2024, 5:45p, 8:30p
Robert Tedford Memorial Park,LLM2,10/10/2024, 5:44p, 8:00p
Robert Tedford Memorial Park,LLM2,10/14/2024, 5:37p, 8:30p
Robert Tedford Memorial Park,LLM2,10/15/2024, 5:36p, 8:00p
Robert Tedford Memorial Park,LLM2,10/16/2024, 5:34p, 8:30p
Robert Tedford Memorial Park,LLM2,10/17/2024, 5:33p, 8:00p
Robert Tedford Memorial Park,LLM2,10/21/2024, 5:26p, 8:30p
