Facility,Field,Start Date,Start Time,End Time
Ellington High School,Multipurpose Track,09/30/2024,6:01p,10:00p
Ellington High School,Multipurpose Track,10/01/2024,5:59p,10:00p
Ellington High School,Multipurpose Track,10/02/2024,5:57p,10:00p
Ellington High School,Multipurpose Track,10/03/2024,5:55p,10:00p
Ellington High School,Multipurpose Track,10/04/2024,5:54p,10:00p
Ellington High School,Multipurpose Track,10/05/2024,5:52p,10:00p
Ellington High School,Multipurpose Track,10/06/2024,5:50p,10:00p
Ellington High School,Multipurpose Track,10/07/2024,5:49p,10:00p
Ellington High School,Multipurpose Track,10/08/2024,5:47p,10:00p
Ellington High School,Multipurpose Track,10/09/2024,5:45p,10:00p
Ellington High School,Multipurpose Track,10/10/2024,5:44p,10:00p
Ellington High School,Multipurpose Track,10/11/2024,5:42p,10:00p
Ellington High School,Multipurpose Track,10/12/2024,5:40p,10:00p
Ellington High School,Multipurpose Track,10/13/2024,5:39p,10:00p
Ellington High School,Multipurpose Track,10/14/2024,5:37p,10:00p
Ellington High School,Multipurpose Track,10/15/2024,5:36p,10:00p
Ellington High School,Multipurpose Track,10/16/2024,5:34p,10:00p
Ellington High School,Multipurpose Track,10/17/2024,5:33p,10:00p
Ellington High School,Multipurpose Track,10/18/2024,5:31p,10:00p
Ellington High School,Multipurpose Track,10/19/2024,5:29p,10:00p
Ellington High School,Multipurpose Track,10/20/2024,5:28p,10:00p
Ellington High School,Multipurpose Track,10/21/2024,5:26p,10:00p
Ellington High School,Multipurpose Track,10/22/2024,5:25p,10:00p
Ellington High School,Multipurpose Track,10/23/2024,5:24p,10:00p
Ellington High School,Multipurpose Track,10/24/2024,5:22p,10:00p
Ellington High School,Multipurpose Track,10/25/2024,5:21p,10:00p
Ellington High School,Multipurpose Track,10/26/2024,5:19p,10:00p
Ellington High School,Multipurpose Track,10/27/2024,5:18p,10:00p
Ellington High School,Multipurpose Track,10/28/2024,5:17p,10:00p
Ellington High School,Multipurpose Track,10/29/2024,5:15p,10:00p
Ellington High School,Multipurpose Track,10/30/2024,5:14p,10:00p
Ellington High School,Multipurpose Track,10/31/2024,5:13p,10:00p
Ellington High School,Multipurpose Track,11/01/2024,5:11p,10:00p
Ellington High School,Multipurpose Track,11/02/2024,5:10p,10:00p
Ellington High School,Multipurpose Track,11/03/2024,4:09p,10:00p
Ellington High School,Multipurpose Track,11/04/2024,4:08p,10:00p
Ellington High School,Multipurpose Track,11/05/2024,4:06p,10:00p
Ellington High School,Multipurpose Track,11/06/2024,4:05p,10:00p
Ellington High School,Multipurpose Track,11/07/2024,4:04p,10:00p
Ellington High School,Multipurpose Track,11/08/2024,4:03p,10:00p
Ellington High School,Multipurpose Track,11/09/2024,4:02p,10:00p
Ellington High School,Multipurpose Track,11/10/2024,4:01p,10:00p
Ellington High School,Multipurpose Track,11/11/2024,4:00p,10:00p
Ellington High School,Multipurpose Track,11/12/2024,3:59p,10:00p
Ellington High School,Multipurpose Track,11/13/2024,3:58p,10:00p
Ellington High School,Multipurpose Track,11/14/2024,3:57p,10:00p
Ellington High School,Multipurpose Track,11/15/2024,3:56p,10:00p
Ellington High School,Multipurpose Track,11/16/2024,3:55p,10:00p
Ellington High School,Multipurpose Track,11/17/2024,3:55p,10:00p
Ellington High School,Multipurpose Track,11/18/2024,3:54p,10:00p
Ellington High School,Multipurpose Track,11/19/2024,3:53p,10:00p
Ellington High School,Multipurpose Track,11/20/2024,3:52p,10:00p
Ellington High School,Multipurpose Track,11/21/2024,3:52p,10:00p
Ellington High School,Multipurpose Track,11/22/2024,3:51p,10:00p
Ellington High School,Multipurpose Track,11/23/2024,3:50p,10:00p
Ellington High School,Multipurpose Track,11/24/2024,3:50p,10:00p
Ellington High School,Multipurpose Track,11/25/2024,3:49p,10:00p
Ellington High School,Multipurpose Track,11/26/2024,3:49p,10:00p
Ellington High School,Multipurpose Track,11/27/2024,3:48p,10:00p
Ellington High School,Multipurpose Track,11/28/2024,3:48p,10:00p
Ellington High School,Multipurpose Track,11/29/2024,3:48p,10:00p
Ellington High School,Multipurpose Track,11/30/2024,3:47p,10:00p
Ellington High School,Tennis 1-4,09/30/2024,6:01p,10:00p
Ellington High School,Tennis 1-4,10/01/2024,5:59p,10:00p
Ellington High School,Tennis 1-4,10/02/2024,5:57p,10:00p
Ellington High School,Tennis 1-4,10/03/2024,5:55p,10:00p
Ellington High School,Tennis 1-4,10/04/2024,5:54p,10:00p
Ellington High School,Tennis 1-4,10/05/2024,5:52p,10:00p
Ellington High School,Tennis 1-4,10/06/2024,5:50p,10:00p
Ellington High School,Tennis 1-4,10/07/2024,5:49p,10:00p
Ellington High School,Tennis 1-4,10/08/2024,5:47p,10:00p
Ellington High School,Tennis 1-4,10/09/2024,5:45p,10:00p
Ellington High School,Tennis 1-4,10/10/2024,5:44p,10:00p
Ellington High School,Tennis 1-4,10/11/2024,5:42p,10:00p
Ellington High School,Tennis 1-4,10/12/2024,5:40p,10:00p
Ellington High School,Tennis 1-4,10/13/2024,5:39p,10:00p
Ellington High School,Tennis 1-4,10/14/2024,5:37p,10:00p
Ellington High School,Tennis 1-4,10/15/2024,5:36p,10:00p
Ellington High School,Tennis 1-4,10/16/2024,5:34p,10:00p
Ellington High School,Tennis 1-4,10/17/2024,5:33p,10:00p
Ellington High School,Tennis 1-4,10/18/2024,5:31p,10:00p
Ellington High School,Tennis 1-4,10/19/2024,5:29p,10:00p
Ellington High School,Tennis 1-4,10/20/2024,5:28p,10:00p
Ellington High School,Tennis 1-4,10/21/2024,5:26p,10:00p
Ellington High School,Tennis 1-4,10/22/2024,5:25p,10:00p
Ellington High School,Tennis 1-4,10/23/2024,5:24p,10:00p
Ellington High School,Tennis 1-4,10/24/2024,5:22p,10:00p
Ellington High School,Tennis 1-4,10/25/2024,5:21p,10:00p
Ellington High School,Tennis 1-4,10/26/2024,5:19p,10:00p
Ellington High School,Tennis 1-4,10/27/2024,5:18p,10:00p
Ellington High School,Tennis 1-4,10/28/2024,5:17p,10:00p
Ellington High School,Tennis 1-4,10/29/2024,5:15p,10:00p
Ellington High School,Tennis 1-4,10/30/2024,5:14p,10:00p
Ellington High School,Tennis 1-4,10/31/2024,5:13p,10:00p
Ellington High School,Tennis 1-4,11/01/2024,5:11p,10:00p
Ellington High School,Tennis 1-4,11/02/2024,5:10p,10:00p
Ellington High School,Tennis 1-4,11/03/2024,4:09p,10:00p
Ellington High School,Tennis 1-4,11/04/2024,4:08p,10:00p
Ellington High School,Tennis 1-4,11/05/2024,4:06p,10:00p
Ellington High School,Tennis 1-4,11/06/2024,4:05p,10:00p
Ellington High School,Tennis 1-4,11/07/2024,4:04p,10:00p
Ellington High School,Tennis 1-4,11/08/2024,4:03p,10:00p
Ellington High School,Tennis 1-4,11/09/2024,4:02p,10:00p
Ellington High School,Tennis 1-4,11/10/2024,4:01p,10:00p
Ellington High School,Tennis 1-4,11/11/2024,4:00p,10:00p
Ellington High School,Tennis 1-4,11/12/2024,3:59p,10:00p
Ellington High School,Tennis 1-4,11/13/2024,3:58p,10:00p
Ellington High School,Tennis 1-4,11/14/2024,3:57p,10:00p
Ellington High School,Tennis 1-4,11/15/2024,3:56p,10:00p
Ellington High School,Tennis 1-4,11/16/2024,3:55p,10:00p
Ellington High School,Tennis 1-4,11/17/2024,3:55p,10:00p
Ellington High School,Tennis 1-4,11/18/2024,3:54p,10:00p
Ellington High School,Tennis 1-4,11/19/2024,3:53p,10:00p
Ellington High School,Tennis 1-4,11/20/2024,3:52p,10:00p
Ellington High School,Tennis 1-4,11/21/2024,3:52p,10:00p
Ellington High School,Tennis 1-4,11/22/2024,3:51p,10:00p
Ellington High School,Tennis 1-4,11/23/2024,3:50p,10:00p
Ellington High School,Tennis 1-4,11/24/2024,3:50p,10:00p
Ellington High School,Tennis 1-4,11/25/2024,3:49p,10:00p
Ellington High School,Tennis 1-4,11/26/2024,3:49p,10:00p
Ellington High School,Tennis 1-4,11/27/2024,3:48p,10:00p
Ellington High School,Tennis 1-4,11/28/2024,3:48p,10:00p
Ellington High School,Tennis 1-4,11/29/2024,3:48p,10:00p
Ellington High School,Tennis 1-4,11/30/2024,3:47p,10:00p
